Date,Open,High,Low,Close,Adj Close,Volume
1973-12-20,0.000000,4.375000,4.000000,4.000000,1.862325,1000
1973-12-21,0.000000,4.250000,3.875000,3.875000,1.804127,5600
1973-12-24,0.000000,4.125000,3.750000,3.750000,1.745929,2600
1973-12-26,0.000000,4.000000,3.625000,3.625000,1.687731,3400
1973-12-27,0.000000,4.125000,3.750000,3.750000,1.745929,4600
1973-12-28,0.000000,4.000000,3.625000,3.625000,1.687731,3800
1973-12-31,0.000000,4.000000,3.625000,3.625000,1.687731,14600
1974-01-02,0.000000,4.000000,3.625000,3.625000,1.687731,2800
1974-01-03,0.000000,4.250000,3.875000,3.875000,1.804127,5000
1974-01-04,0.000000,4.375000,4.000000,4.000000,1.862325,1600
1974-01-07,0.000000,4.250000,3.875000,3.875000,1.804127,2600
1974-01-08,0.000000,4.875000,4.500000,4.500000,2.095115,2600
1974-01-09,0.000000,4.375000,4.000000,4.000000,1.862325,5600
1974-01-10,0.000000,4.375000,4.000000,4.000000,1.862325,200
1974-01-11,0.000000,4.500000,4.125000,4.125000,1.920521,400
1974-01-14,0.000000,4.500000,4.125000,4.125000,1.920521,1400
1974-01-15,0.000000,4.625000,4.250000,4.250000,1.978720,400
1974-01-16,0.000000,4.750000,4.375000,4.375000,2.036918,1000
1974-01-17,0.000000,4.750000,4.375000,4.375000,2.036918,600
1974-01-18,0.000000,4.750000,4.375000,4.375000,2.036918,400
1974-01-21,0.000000,4.625000,4.250000,4.250000,1.978720,2000
1974-01-22,0.000000,4.625000,4.250000,4.250000,1.978720,800
1974-01-23,0.000000,4.500000,4.125000,4.125000,1.920521,2000
1974-01-24,0.000000,4.500000,4.125000,4.125000,1.920521,1800
1974-01-25,0.000000,5.125000,4.750000,4.750000,2.211511,1400
1974-01-28,0.000000,5.375000,5.000000,5.000000,2.327906,2600
1974-01-29,0.000000,5.250000,4.875000,4.875000,2.269708,800
1974-01-30,0.000000,5.125000,4.750000,4.750000,2.211511,800
1974-01-31,0.000000,5.125000,4.750000,4.750000,2.211511,1200
1974-02-01,0.000000,5.000000,4.625000,4.625000,2.153313,400
1974-02-04,0.000000,4.875000,4.500000,4.500000,2.095115,6200
1974-02-05,0.000000,4.750000,4.375000,4.375000,2.036918,4000
1974-02-06,0.000000,4.750000,4.375000,4.375000,2.036918,200
1974-02-07,0.000000,4.875000,4.500000,4.500000,2.095115,200
1974-02-08,4.500000,4.500000,4.500000,4.500000,2.095115,0
1974-02-11,0.000000,4.500000,4.125000,4.125000,1.920521,2000
1974-02-12,0.000000,4.375000,4.000000,4.000000,1.862325,400
1974-02-13,0.000000,4.375000,4.000000,4.000000,1.862325,800
1974-02-14,0.000000,4.250000,3.875000,3.875000,1.804127,2000
1974-02-15,0.000000,4.250000,3.875000,3.875000,1.804127,600
1974-02-19,0.000000,4.250000,3.875000,3.875000,1.804127,1600
1974-02-20,0.000000,4.250000,3.875000,3.875000,1.804127,200
1974-02-21,0.000000,4.125000,3.750000,3.750000,1.745929,1200
1974-02-22,0.000000,4.125000,3.750000,3.750000,1.745929,400
1974-02-25,0.000000,4.125000,3.750000,3.750000,1.745929,800
1974-02-26,0.000000,4.125000,3.750000,3.750000,1.745929,600
1974-02-27,0.000000,4.125000,3.750000,3.750000,1.745929,400
1974-02-28,3.750000,3.750000,3.750000,3.750000,1.745929,0
1974-03-01,0.000000,4.125000,3.750000,3.750000,1.745929,5200
1974-03-04,0.000000,4.125000,3.750000,3.750000,1.745929,200
1974-03-05,0.000000,4.250000,3.875000,3.875000,1.804127,600
1974-03-06,0.000000,4.375000,4.000000,4.000000,1.862325,200
1974-03-07,0.000000,4.250000,3.875000,3.875000,1.804127,600
1974-03-08,0.000000,4.500000,4.125000,4.125000,1.920521,1000
1974-03-11,0.000000,4.625000,4.250000,4.250000,1.978720,600
1974-03-12,0.000000,4.625000,4.250000,4.250000,1.978720,200
1974-03-13,0.000000,4.625000,4.250000,4.250000,1.978720,600
1974-03-14,0.000000,4.625000,4.250000,4.250000,1.978720,1000
1974-03-15,0.000000,4.750000,4.375000,4.375000,2.036918,400
1974-03-18,0.000000,4.625000,4.250000,4.250000,1.978720,400
1974-03-19,0.000000,4.500000,4.125000,4.125000,1.920521,600
1974-03-20,0.000000,4.375000,4.000000,4.000000,1.862325,1200
1974-03-21,0.000000,4.375000,4.000000,4.000000,1.862325,200
1974-03-22,0.000000,4.375000,4.000000,4.000000,1.862325,1000
1974-03-25,0.000000,4.500000,4.125000,4.125000,1.920521,400
1974-03-26,4.125000,4.125000,4.125000,4.125000,1.920521,0
1974-03-27,0.000000,4.500000,4.125000,4.125000,1.920521,2000
1974-03-28,0.000000,4.375000,4.000000,4.000000,1.862325,1600
1974-03-29,0.000000,4.250000,3.875000,3.875000,1.804127,2600
1974-04-01,0.000000,4.375000,4.000000,4.000000,1.862325,400
1974-04-02,4.000000,4.000000,4.000000,4.000000,1.862325,0
1974-04-03,0.000000,4.250000,3.875000,3.875000,1.804127,1600
1974-04-04,0.000000,4.250000,3.875000,3.875000,1.804127,1600
1974-04-05,0.000000,4.375000,4.000000,4.000000,1.862325,1200
1974-04-08,0.000000,4.500000,4.125000,4.125000,1.920521,200
1974-04-09,0.000000,4.375000,4.000000,4.000000,1.862325,400
1974-04-10,0.000000,4.375000,4.000000,4.000000,1.862325,1000
1974-04-11,4.000000,4.000000,4.000000,4.000000,1.862325,0
1974-04-15,4.000000,4.000000,4.000000,4.000000,1.862325,0
1974-04-16,4.000000,4.000000,4.000000,4.000000,1.862325,0
1974-04-17,0.000000,4.375000,4.000000,4.000000,1.862325,400
1974-04-18,4.000000,4.000000,4.000000,4.000000,1.862325,0
1974-04-19,4.000000,4.000000,4.000000,4.000000,1.862325,0
1974-04-22,0.000000,4.375000,4.000000,4.000000,1.862325,1200
1974-04-23,0.000000,4.500000,4.125000,4.125000,1.920521,400
1974-04-24,0.000000,4.375000,4.000000,4.000000,1.862325,1000
